name,neighborhood,Location 1,image_urls,description
Maryland Line Monument,Mid-Town Belvedere,Cathedral Street & W Mount Royal Avenue,http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/MD_Route_139.svg/88px-MD_Route_139.svg.png,""
Francis Scott Key Monument,Madison Park,W. Lafayette Avenue and Eutaw Place,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Francis_Scott_Key_by_Joseph_Wood_c1825.jpg/220px-Francis_Scott_Key_by_Joseph_Wood_c1825.jpg,"Francis Scott Key (August 1, 1779 – January 11, 1843) was an American lawyer, author, and amateur poet from Georgetown who wrote the lyrics to the United States' national anthem, ""The Star-Spangled Banner""."
Billie Holiday,Upton,"1400 PENNSYLVANIA AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
World War One Relief,Upton,"1211 PENNSYLVANIA AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Watson Monument,Reservoir Hill,W North Avenue & W Mount Royal Avenue,http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/MD_Route_150.svg/88px-MD_Route_150.svg.png,""
James L. Ridgely Monument,Harlem Park,"1500 EDMONDSON AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Towson_Courthouse.jpg/255px-Towson_Courthouse.jpg,Coordinates: 39°24′N 76°36′W﻿ / ﻿39.400°N 76.600°W﻿ / 39.400; -76.600
Luther Monument,Coldstream Homestead Montebello,"3201 HILLEN ROAD
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Dehontshihgwa'es (Creator's Game),Johns Hopkins Homewood,"3200 CHARLES ST
Baltimore, MD",http://visioncame.com/images/notfound.jpg,"Bacon ipsum dolor amet ball tip pig ribeye chicken pastrami jerky porchetta shank frankfurter capicola jowl corned beef turkey. Burgdoggen pork loin jerky biltong shank capicola. Doner rump leberkas tongue. T-bone tri-tip meatball cupim pork belly. Tenderloin pork ribeye, frankfurter alcatra ham hock cow picanha swine filet mignon ground round kielbasa short loin jerky ball tip. Brisket jowl capicola chicken beef ribs leberkas ground round filet mignon pork spare ribs tri-tip shankle sausage meatball."
Sidney Lanier Monument,Johns Hopkins Homewood,"3200 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/GreenmountCemeteryBaltimore.jpg/250px-GreenmountCemeteryBaltimore.jpg,Coordinates: 39°18′27″N 76°36′26″W﻿ / ﻿39.30750°N 76.60722°W﻿ / 39.30750; -76.60722
Lee and Jackson Monument,Johns Hopkins Homewood,"3100 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Baltimore_osm-mapnik_location_map.png/250px-Baltimore_osm-mapnik_location_map.png,"Lake Roland Park is a city/county park encompassing over 500 acres of woodland, wetlands, serpentine barrens, rare plants and rocky plateaus surrounding Lake Roland in Baltimore County, Maryland, located near the intersection of Falls Road and Lake Avenue, adjacent to the Falls Road Light Rail Stop of the Baltimore Light Rail, which runs from Cromwell Station near Glen Burnie in Anne Arundel County in the south to Hunt Valley of Baltimore County.[2][3] The line runs along a railroad embankment and trestle over the lake above the dam, cutting the park into a two-thirds wooded northern part and the one-third southern portion around the dam, picnic groves, pavilion and pumping station.[4][5]"
Sea Urchin,Johns Hopkins Homewood,"3200 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Edward_Berge001.JPG/290px-Edward_Berge001.JPG,"Edward Henry Berge (1876–1924) was an American sculptor born in Baltimore, Maryland. He died in his native city."
Daniel Coit Gilman,Johns Hopkins Homewood,"3200 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Elisabeth_Gilman.jpg/220px-Elisabeth_Gilman.jpg,"Elisabeth Coit Gilman (December 25, 1867 – December 14, 1950) was an American socialist and civil liberties advocate."
Centennial Sculpture,Johns Hopkins Homewood,"3200 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Converted.png/220px-Converted.png,"The Washington Monument is the centerpiece of Mount Vernon Place, an urban square in the Mount Vernon neighborhood of Baltimore, Maryland. It was the first major monument begun to honor George Washington."
Johns Hopkins Monument,Johns Hopkins Homewood,"3200 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Baltimore_osm-mapnik_location_map.png/250px-Baltimore_osm-mapnik_location_map.png,"The Johns Hopkins Hospital (JHH) is the teaching hospital and biomedical research facility of the Johns Hopkins School of Medicine, located in Baltimore, Maryland, U.S. It was founded in 1889 using money from a bequest by philanthropist Johns Hopkins. Johns Hopkins Hospital and the school of medicine are the founding institutions of modern American medicine and the birthplace of numerous medical traditions including rounds, residents and housestaff.[4] Many medical specialties were formed at the hospital including neurosurgery, by Harvey Cushing; cardiac surgery by Alfred Blalock;[5] and pediatrics and child psychiatry, by Leo Kanner.[6][7]"
Harris Bust,Remington,"3100 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Edward_Berge001.JPG/290px-Edward_Berge001.JPG,"Edward Henry Berge (1876–1924) was an American sculptor born in Baltimore, Maryland. He died in his native city."
Isaiah Bowman,Johns Hopkins Homewood,"3200 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Joseph_Ames_-_GPN-2000-001639.jpg/220px-Joseph_Ames_-_GPN-2000-001639.jpg,"Joseph Sweetman Ames (July 3, 1864 – June 24, 1943) was a physicist, professor at Johns Hopkins University, provost of the university from 1926 until 1929, and university president from 1929 until 1935.[1] He is best remembered as one of the founding members of the National Advisory Committee for Aeronautics (NACA, the predecessor of NASA) and its longtime chairman (1919–1939). NASA Ames Research Center is named after him. He was elected a Fellow of the American Academy of Arts and Sciences in 1911.[2] He was the 1935 recipient of the Langley Gold Medal from the Smithsonian Institution."
Union Soldiers and Sailors,Johns Hopkins Homewood,"3100 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Peace Cross (Victory Cross),Guilford,"2 UNIVERSITY PKWY
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Baltimore_City_College_logo.png/76px-Baltimore_City_College_logo.png,"Baltimore City College, known colloquially as City, City College, or B.C.C. is a public magnet high school in Baltimore, Maryland, United States.[4] Established in March 1839, City is the third oldest active public high school in the US.[5] A city-wide college preparatory school with a liberal arts focus, Baltimore City College has selective admissions criteria based on entrance exams and middle school grades. The four-year City College curriculum includes the IB Middle Years Programme and the IB Diploma Programme.[6]"
U.S. Spanish-American War Memorial,McElderry Park,"2642 E Fayette St, Baltimore MD 21224",http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Frederick_City_Skyline.JPG/250px-Frederick_City_Skyline.JPG,"Frederick is a city and the county seat of Frederick County in the U.S. state of Maryland. It is part of the Baltimore–Washington Metropolitan Area. Frederick has been an important crossroads community since it was located in colonial times at the intersection of an important north–south Indian trail, and east–west routes to the Chesapeake Bay both at Baltimore and what became Washington, D.C. and across the Appalachian mountains to the Ohio River watershed. It is a part of the Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area, which is part of a greater Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area. The city's population was 65,239 people at the 2010 United States Census, making it the second-largest incorporated city in Maryland, behind Baltimore."
Pulaski Monument,Patterson Park,"100 LINWOOD AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/US_40.svg/70px-US_40.svg.png,""
Conradin Kruetzer Monument,Patterson Park,"100 LINWOOD AVE
Baltimore, MD",http://visioncame.com/images/notfound.jpg,"Bacon ipsum dolor amet ball tip pig ribeye chicken pastrami jerky porchetta shank frankfurter capicola jowl corned beef turkey. Burgdoggen pork loin jerky biltong shank capicola. Doner rump leberkas tongue. T-bone tri-tip meatball cupim pork belly. Tenderloin pork ribeye, frankfurter alcatra ham hock cow picanha swine filet mignon ground round kielbasa short loin jerky ball tip. Brisket jowl capicola chicken beef ribs leberkas ground round filet mignon pork spare ribs tri-tip shankle sausage meatball."
Star Spangled Banner Centennial Monument,Patterson Park,"100 LINWOOD AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Fort_McHenry2.JPG/284px-Fort_McHenry2.JPG,"Fort McHenry, in Baltimore, Maryland, is a historical American coastal star-shaped fort best known for its role in the War of 1812, when it successfully defended Baltimore Harbor from an attack by the British navy from the Chesapeake Bay September 13–14, 1814. It was first built in 1798 and was used continuously by U.S. armed forces through World War I and by the Coast Guard in World War II. It was designated a national park in 1925, and in 1939 was redesignated a ""National Monument and Historic Shrine,"""
Captain John O'Donnell,Canton,"1021 LINWOOD AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Mt_Winans_Yard_CSX.jpg/250px-Mt_Winans_Yard_CSX.jpg,"""Mount Winans"" (""Mt. Winans"") is a mixed-use residential, commercial and industrial neighborhood in the southwestern area of the City of Baltimore in Maryland. Its north, south and east boundaries are marked by the various lines of track of the CSX Railroad (formerly the historic Baltimore and Ohio Railroad before 1987, and later briefly, the ""Chessie System""). In addition, Hollins Ferry Road running to the south towards suburban Baltimore County in the southwest and further connecting with adjacent Anne Arundel County to the southeast, draws its western boundary."
Vietnam Veteran's Memorial Monument,Middle Branch/Reedbird Parks,"2825 HANOVER ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Map_Number_869-86501_-_US_National_Park_Service_-_24_June_2003.jpg/220px-Map_Number_869-86501_-_US_National_Park_Service_-_24_June_2003.jpg,"The National Capital Memorial Advisory Commission is an independent agency of the United States government responsible for approving and siting memorials within Washington, D.C., and the D.C. metropolitan area. Previously known as the National Capital Memorial Advisory Committee, the agency was established by the Commemorative Works Act of 1986 and its name was changed to the National Capital Memorial Commission. The agency's name was changed again in 2003 to the National Capital Memorial Advisory Commission."
Colonel George Armistead Monument,Locust Point Industrial Area,"1401 CONSTELLATION PLZA
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/GeorgeArmisteadStatue_crop.jpg/225px-GeorgeArmisteadStatue_crop.jpg,War of 1812
Samuel Smith Monument,Federal Hill,"300 WARREN AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Battle_Monument_MD1.jpg/250px-Battle_Monument_MD1.jpg,"The Battle Monument, located in Battle Monument Square on North Calvert Street between East Fayette and East Lexington Streets in Baltimore, Maryland, commemorates the Battle of Baltimore with the British fleet's bombardment of Fort McHenry, the Battle of North Point, southeast of the city in Baltimore County on the Patapsco Neck peninsula and the stand-off on the eastern siege fortifications along Loudenschlager's Hill, later Hampstead Hill, in what is now Patterson Park, east of town. It honors those who died during the month of September 1814 during the War of 1812. The monument lies in the middle of the street and is between the two Baltimore City Circuit Courthouses that are located on the opposite sides of Calvert Street. It was sponsored by the City and the ""Committee of Vigilance and Safety"" led by Mayor Edward Johnson and military commanders: Brig. Gen. John Stricker, Maj. Gen. Samuel Smith and Lt. Col. George Armistead (of Ft. McHenry)."
Francis Scott Key Memorial,Locust Point Industrial Area,"1401 CONSTELLATION PLZA
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Francis_Scott_Key_by_Joseph_Wood_c1825.jpg/220px-Francis_Scott_Key_by_Joseph_Wood_c1825.jpg,"Francis Scott Key (August 1, 1779 – January 11, 1843) was an American lawyer, author, and amateur poet from Georgetown who wrote the lyrics to the United States' national anthem, ""The Star-Spangled Banner""."
Thomas Wildey Monument,Washington Hill,"113 N Broadway Baltimore, MD 21231",http://upload.wikimedia.org/wikipedia/en/thumb/4/45/Seal_of_the_Souvereign_Grand_Lodge_of_the_Independent_Order_of_Odd_Fellows.jpg/220px-Seal_of_the_Souvereign_Grand_Lodge_of_the_Independent_Order_of_Odd_Fellows.jpg,"Evolving from the Order of Odd Fellows first founded in England during the 1700's, the Independent Order of Odd Fellows (IOOF) or Odd Fellows is a non-political and non-sectarian international fraternal order founded in 1819 by Thomas Wildey in Baltimore, Maryland, United States. It was originally chartered by the Independent Order of Oddfellows Manchester Unity in England but has operated as independent organization since 1842, although it maintains an inter-fraternal relationship with the English Order.[6] The order is also known as the Triple Link Fraternity, referring to the order's ""Triple Links"" symbol, alluding to its motto ""Friendship, Love and Truth"".[6]"
Latrobe Monument,Washington Hill,201 West Monument Street,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Benjamin_latrobe_by_peale.jpg/220px-Benjamin_latrobe_by_peale.jpg,"Benjamin Henry Boneval Latrobe (May 1, 1764 – September 3, 1820) was a British subject and neoclassical architect. Latrobe was one of the first formally trained, professional architects in the new United States, drawing influences from his travels in Italy, as well as British and French Neoclassical architects such as Claude Nicolas Ledoux. In his thirties, he emigrated to the new United States and designed the United States Capitol, on ""Capitol Hill"" in Washington, D.C., after which he performed later work on the Old Baltimore Cathedral/The Baltimore Basilica, (later renamed the Basilica of the National Shrine of the Assumption of the Blessed Virgin Mary). It is the first Roman Catholic Cathedral constructed in the United States. Latrobe also designed the largest structure in America at the time, the ""Merchants' Exchange"" in Baltimore. With extensive balconied atriums through the wings and a large central rotunda under a low dome which dominated the city and was completed in 1820 after five years of work and endured into the early 20th century."
Christopher Columbus,Inner Harbor,"300 PRESIDENT ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Saint_Leo%27s_Church_-_Baltimore_01.JPG/200px-Saint_Leo%27s_Church_-_Baltimore_01.JPG,The history of the Italians in Baltimore dates back to the mid-19th century. The city's Italian-American community is centered in the neighborhood of Little Italy.
Korean War Memorial,Canton,"2999 BOSTON ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Asian_soul%3F_%283554115153%29.jpg/200px-Asian_soul%3F_%283554115153%29.jpg,The history of the Koreans in Baltimore dates back to the mid-20th century.
War Memorial Plaza,Downtown,"101 HOLLIDAY ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/War_memorial_horse_%26_eagle.jpg/220px-War_memorial_horse_%26_eagle.jpg,"War Memorial Plaza is a public square, small park and space in Downtown Baltimore between City Hall and the War Memorial Building, between Holliday Street on the west, East Fayette Street on the south, North Gay Street on the east, and East Lexington Street on the north."
Columbus Obelisk,Herring Run Park,"4001 HARFORD ROAD
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/L%27enfant_plan_of_Washington_DC.jpg/300px-L%27enfant_plan_of_Washington_DC.jpg,"A substantial mythology exaggerating Benjamin Banneker's accomplishments has developed during the two centuries that have elapsed since he lived.[1][2][3] Several such urban legends describe Banneker's alleged activities in the Washington, D.C. area around the time that he assisted Andrew Ellicott in the federal district boundary survey.[2][3][4][5][6] Others involve his clock, his almanacs and his journals.[2] All lack support by historical evidence. Some are contradicted by such evidence."
Mothers Garden,Clifton Park,"2801 HARFORD ROAD
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/MD_Route_129.svg/88px-MD_Route_129.svg.png,""
Memorial Stadium,Ednor Gardens-Lakeside,"1000 33RD ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"Memorial Stadium was a sports stadium in Baltimore, Maryland, that formerly stood on 33rd Street (aka 33rd Street Boulevard or renamed ""Babe Ruth Plaza"") on an oversized block (officially designated as Venable Park, a former city park from the 1920s) also bounded by Ellerslie Avenue (west), 36th Street (north), and Ednor Road (east). Two different stadiums were located here, a 1922 version known as ""Baltimore Stadium"", or ""Municipal Stadium"", or sometimes 'Venable Stadium', and, for a time, ""Babe Ruth Stadium"" in reference to the then-recently deceased Baltimore native. The rebuilt multi-sport stadium, when reconstruction (expansion to an upper deck) was completed in the summer of 1954, would become known as ""Memorial Stadium"". The stadium was also known as ""The Old Gray Lady of 33rd Street"", and also (for Colts games) as ""The World's Largest Outdoor Insane Asylum.""[4]"
Serviceman's Memorial,Johns Hopkins Homewood,"3100 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Arlington_National_Cemetery_Amphitheater.jpg/250px-Arlington_National_Cemetery_Amphitheater.jpg,"Memorial Amphitheater is an outdoor amphitheater, exhibit hall, and nonsectarian chapel located in Arlington National Cemetery in Arlington County, Virginia, in the United States. Designed in 1913 as a replacement for the older, wooden amphitheater near Arlington House, ground was broken for its construction in March 1915 and it was dedicated in May 1920. In the center of its eastern steps is the Tomb of the Unknowns, dedicated in 1921. It has served as the site for numerous Veterans Day and Memorial Day services, as well as for memorial services and funerals for many individuals."
Serviceman's Memorial,Johns Hopkins Homewood,"2801 HARFORD ROAD
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Arlington_National_Cemetery_Amphitheater.jpg/250px-Arlington_National_Cemetery_Amphitheater.jpg,"Memorial Amphitheater is an outdoor amphitheater, exhibit hall, and nonsectarian chapel located in Arlington National Cemetery in Arlington County, Virginia, in the United States. Designed in 1913 as a replacement for the older, wooden amphitheater near Arlington House, ground was broken for its construction in March 1915 and it was dedicated in May 1920. In the center of its eastern steps is the Tomb of the Unknowns, dedicated in 1921. It has served as the site for numerous Veterans Day and Memorial Day services, as well as for memorial services and funerals for many individuals."
Saint-Lo Drive Memorial,Clifton Park,"2701 Saint Lo Drive, Baltimore, M",http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/CliftonMansion_08_11.jpg/250px-CliftonMansion_08_11.jpg,"Clifton Park is a public urban park and national historic district located between the Coldstream-Homestead-Montebello and Waverly neighborhoods to the west and the Belair-Edison, Lauraville, Hamilton communities to the north in the northeast section of Baltimore, Maryland, U.S.A.. It is roughly bordered by Erdman Avenue (Md. Rt. 151) to the northeast, Sinclair Lane to the south, Harford Road (Md. Rt. 147) to the northwest and Belair Road (U.S. Route 1) to the southeast.[2] The eighteen-hole Clifton Park Golf Course, which is the site of the annual Clifton Park Golf Tournament,[3] occupies the north side of the park."
Fell Family Memorial,Fells Point,"803 S Bethel St, Baltimore, MD 21231",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Rogers Bastion,Patterson Park,"100 LINWOOD AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"The following is a timeline of the history of the city of Baltimore, Maryland, United States"
Veterans of Foreign Wars Monument,Hopkins Bayview,"5100 EASTERN AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/I-83.svg/70px-I-83.svg.png,""
Garrett Park Monument,Brooklyn,"3560 3RD ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Baltimore_osm-mapnik_location_map.png/250px-Baltimore_osm-mapnik_location_map.png,"Lake Roland Park is a city/county park encompassing over 500 acres of woodland, wetlands, serpentine barrens, rare plants and rocky plateaus surrounding Lake Roland in Baltimore County, Maryland, located near the intersection of Falls Road and Lake Avenue, adjacent to the Falls Road Light Rail Stop of the Baltimore Light Rail, which runs from Cromwell Station near Glen Burnie in Anne Arundel County in the south to Hunt Valley of Baltimore County.[2][3] The line runs along a railroad embankment and trestle over the lake above the dam, cutting the park into a two-thirds wooded northern part and the one-third southern portion around the dam, picnic groves, pavilion and pumping station.[4][5]"
