name,neighborhood,Location 1,image_urls,description
Baltimore Museum of Art,Johns Hopkins Homewood,"10 Art Museum Dr
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Baltimore Museum of Industry,Locust Point Industrial Area,"1415 Key Hwy
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/BaltimoreMuseumOfIndustry-FromQuay.jpg/220px-BaltimoreMuseumOfIndustry-FromQuay.jpg,"Baltimore Museum of Industry is a museum in Baltimore, Maryland, United States. Located in an old cannery, the museum has exhibits on various types of manufacturing and industry from the early 20th century. There are several hands-on sections with working equipment and other artifacts."
Baltimore Public Works Museum,Inner Harbor,"751 Eastern Ave
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Baltimore Streetcar Museum,Charles North,"1905 Falls Road
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,Coordinates: 39°18′42″N 76°37′12″W﻿ / ﻿39.31167°N 76.62000°W﻿ / 39.31167; -76.62000
Baltimore's Black American Museum,Coldstream Homestead Montebello,"1765 Carswell St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Carroll Mansion,Hollins Market,"800 Lombard St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Carroll_Mansion%2C_800_E._Lombard_St.%2C_Baltimore_City%2C_Maryland.JPG/250px-Carroll_Mansion%2C_800_E._Lombard_St.%2C_Baltimore_City%2C_Maryland.JPG,"The Carroll Mansion (also known as the Carroll-Caton House or Carroll Mansion Museum) is a historic building and museum located in Baltimore, Maryland, USA."
Contemporary Museum,Mount Vernon,"100 Centre St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/MD_Route_139.svg/88px-MD_Route_139.svg.png,""
Edgar Allen Poe House and Museum,Poppleton,"203 Amity St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Baltimore_osm-mapnik_location_map.png/240px-Baltimore_osm-mapnik_location_map.png,"Coordinates: 39°17′15″N 76°37′15″W﻿ / ﻿39.2875°N 76.620833°W﻿ / 39.2875; -76.620833 Bromo Arts District is the third designated arts district in Baltimore, MD and is centered around the Emerson Bromo-Seltzer Tower, which houses artist studios. The district is roughly bounded by Park Avenue on the east, Lombard Street on the south, Paca Street on the west and Martin Luther King Jr. Boulevard and Read Street on the north and is adjacent to the neighborhoods of Mount Vernon and downtown Baltimore. It is home to the University of Maryland Medical Center, Lexington Market, Westminster Hall and Edgar Allen Poe's gravesite and many cultural institutions including the Hippodrome Theatre, the Everyman Theatre, and the Eubie Blake National Jazz and Cultural Center. It is also home to A.T. Jones and Sons, the oldest costume company in the United States."
Eubie Blake National Jazz Institute and Cultural Center,Mount Vernon,"847 Howard St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/e/eb/EubieBlake.jpg,"James Hubert Blake (February 7, 1887[1] – February 12, 1983), known as Eubie Blake, was an American composer, lyricist, and pianist of ragtime, jazz, and popular music. In 1921, he and his long-time collaborator Noble Sissle wrote Shuffle Along, one of the first Broadway musicals to be written and directed by African Americans.[2] Blake's compositions included such hits as ""Bandana Days"", ""Charleston Rag"", ""Love Will Find a Way"", ""Memories of You"" and ""I'm Just Wild About Harry"". The musical Eubie!, which opened on Broadway in 1978, featured his works."
Evergreen House,Loyola/Notre Dame,"4545 Charles St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/EvergreenHouse08_11.jpg/250px-EvergreenHouse08_11.jpg,"Evergreen Museum & Library, also known as Evergreen House, is a historical museum of the Johns Hopkins University in Baltimore, Maryland, United States. It is located between the campuses of the College of Notre Dame and Loyola College. It, along with Homewood Museum, make up the Johns Hopkins University Museums."
Fells Point Maritime Museum,Fells Point,"1724 Thames St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Inner_Harbor_from_the_Baltimore_Aquarium.jpg/250px-Inner_Harbor_from_the_Baltimore_Aquarium.jpg,"The Inner Harbor is a historic seaport, tourist attraction, and landmark of the city of Baltimore, Maryland, USA. It was described by the Urban Land Institute in 2009 as “the model for post-industrial waterfront redevelopment around the world.”[1] The Inner Harbor is located at the mouth of Jones Falls, creating the wide and short northwest branch of the Patapsco River. The district includes any water west of a line drawn between the foot of President Street and the American Visionary Art Museum."
Fort McHenry National Monument,Locust Point Industrial Area,"2400 East Fort Avenue
Baltimore, MD 21230",http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Fort_McHenry2.JPG/284px-Fort_McHenry2.JPG,"Fort McHenry, in Baltimore, Maryland, is a historical American coastal star-shaped fort best known for its role in the War of 1812, when it successfully defended Baltimore Harbor from an attack by the British navy from the Chesapeake Bay September 13–14, 1814. It was first built in 1798 and was used continuously by U.S. armed forces through World War I and by the Coast Guard in World War II. It was designated a national park in 1925, and in 1939 was redesignated a ""National Monument and Historic Shrine,"""
H. L. Mencken House,Union Square,"1524 Hollins St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Union_Square_Fountain_Pavilion.jpg/250px-Union_Square_Fountain_Pavilion.jpg,Union Square is a neighborhood located in the Sowebo area of Baltimore.[2] It dates to the 1830s and includes a historic district of houses and commerce buildings.
Homewood House Museum,Downtown,"3400 Charles St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/JHU_Homewood.jpg/250px-JHU_Homewood.jpg,"The Homewood Museum is a historical museum located on the Johns Hopkins University campus in Baltimore, Maryland. It was listed as a National Historic Landmark in 1971, noted as a family home of Maryland's Carroll family.[2] It, along with Evergreen Museum & Library, make up the Johns Hopkins University Museums."
James E. Lewis Museum of Art,Guilford,"1700 Cold Spring Lane
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Jewish Museum of Maryland,Jonestown,"15 Lloyd St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Lacrosse Foundation Hall of Fame Museum,Johns Hopkins Homewood,"113 University Pkwy
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/d/d9/USL_Logo.png,"US Lacrosse is the national governing body of men and women's lacrosse in the United States, primarily serving the youth game. It provides a leadership role in virtually every aspect of the game, boasts 68 chapters and more than 450,000 members throughout the United States, and offers programs and services to inspire participation while protecting the integrity of the sport. The US Lacrosse national headquarters is located in Sparks, Md., along with the Lacrosse Museum and National Hall of Fame. In addition, the headquarters campus features the IWLCA Building, Tierney Field and a memorial to the members of the lacrosse community that died in the September 11, 2001 terrorist attacks. US Lacrosse also oversees the U.S. National Teams, which have won a combined 28world championships."
Lovely Lane Museum,Charles Village,"2200 St Paul St
BALTIMORE, MD",http:,""
Maryland Historical Society,Mount Vernon,"201 Monument St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/3/35/Mdhs-waxSeal-CMYK.jpeg/220px-Mdhs-waxSeal-CMYK.jpeg,"The Maryland Historical Society (MdHS), founded on March 1, 1844,[1] is the oldest cultural institution in the U.S. state of Maryland. The society ""collects, preserves, and interprets objects and materials reflecting Maryland's diverse heritage."" MdHS has a museum, library, holds educational programs, and publishes scholarly works on Maryland."
Maryland Ornithological Museum,Coldspring,"4915 Greenspring Ave
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"The following is a timeline of the history of the city of Baltimore, Maryland, United States"
Maryland Science Center,Inner Harbor,"601 Light St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"The University of Maryland, Baltimore, (also known as University of Maryland: The Founding Campus, or UMB, UMAB) was founded in 1807. It comprises some of the oldest professional schools of dentistry, law, medicine, pharmacy, social work and nursing in the United States.[2] It is the original campus of the University System of Maryland. Located on 60 acres (242,811 m²) in downtown Baltimore, it is part of the University System of Maryland. Effective July 1, 2010, Jay A. Perman was appointed president of the university by William English Kirwan, chancellor of the University System of Maryland."
Mother Seton House,Seton Hill,"600 Paca St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Mother_Seton_House%2C_600_N._Paca_St.%2C_Baltimore_City%2C_Maryland.JPG/200px-Mother_Seton_House%2C_600_N._Paca_St.%2C_Baltimore_City%2C_Maryland.JPG,"The history of the French in Baltimore dates back to the 18th century. The earliest wave of French immigration began in the mid-1700s, bringing many Acadian refugees from Canada's Maritime Provinces. The Acadians were exiled from Canada by the British during the French and Indian War. Later waves of French settlement in Baltimore from the 1790s to the early 1800s brought Roman Catholic refugees of the French Revolution and refugees of the Haitian Revolution from the French colony of Saint-Domingue."
Mount Clare Museum House,Carroll Park,"1500 Washington Blvd
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/B%26O_Mount_Clare_Station_%28Baltimore%29.jpg/250px-B%26O_Mount_Clare_Station_%28Baltimore%29.jpg,"The B&O Railroad Museum is a museum exhibiting historic railroad equipment in Baltimore, Maryland, originally named the Baltimore & Ohio Transportation Museum when it opened on July 4, 1953. It has been called one of the most significant collections of railroad treasures in the world and has the largest collection of 19th-century locomotives in the U.S.[3][4] The museum is located in the Baltimore and Ohio Railroad's old Mount Clare Station and adjacent roundhouse, part of the B&O's sprawling Mount Clare Shops site begun in 1829, the oldest railroad manufacturing complex in the United States.[5]"
Mount Vernon Museum of Incandescent Lighting,Mount Vernon,"717 Washington Pl
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png,"This list of museums in Maryland encompasses museums, defined for this context as institutions (including nonprofit organizations, government entities, and private businesses) that collect and care for objects of cultural, artistic, scientific, or historical interest and make their collections or related exhibits available for public viewing. Museums that exist only in cyberspace (i.e., virtual museums) are not included."
Museum of Baltimore Legal History,Downtown,"100 Calvert St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/WashingtonMonumentView.jpg/250px-WashingtonMonumentView.jpg,Coordinates: 39°17.9′N 76°37′W﻿ / ﻿39.2983°N 76.617°W﻿ / 39.2983; -76.617
National Aquarium in Baltimore,Inner Harbor,"501 Pratt St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
National Museum of Ceramic Art and Glass,Cheswolde,"2406 Shelleydale Dr
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/8/8f/Walters_Art_Museum_logo.png,Coordinates: 39°17′48″N 76°36′58″W﻿ / ﻿39.29667°N 76.61611°W﻿ / 39.29667; -76.61611
National Museum of Dentistry,University Of Maryland,"31 Greene St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/BaltimoreMuseumOfIndustry-FromQuay.jpg/220px-BaltimoreMuseumOfIndustry-FromQuay.jpg,"Baltimore Museum of Industry is a museum in Baltimore, Maryland, United States. Located in an old cannery, the museum has exhibits on various types of manufacturing and industry from the early 20th century. There are several hands-on sections with working equipment and other artifacts."
Peabody Galleria Piccola,Bellona-Gittings,"609 Charles St
BALTIMORE, MD",http://visioncame.com/images/notfound.jpg,"Bacon ipsum dolor amet ball tip pig ribeye chicken pastrami jerky porchetta shank frankfurter capicola jowl corned beef turkey. Burgdoggen pork loin jerky biltong shank capicola. Doner rump leberkas tongue. T-bone tri-tip meatball cupim pork belly. Tenderloin pork ribeye, frankfurter alcatra ham hock cow picanha swine filet mignon ground round kielbasa short loin jerky ball tip. Brisket jowl capicola chicken beef ribs leberkas ground round filet mignon pork spare ribs tri-tip shankle sausage meatball."
Peale Museum,Downtown,"225 Holliday St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Rembrandt_Peale_Museum%2C_225_North_Holliday_Street_%28Baltimore%2C_Independent_City%2C_Maryland%29.jpg/250px-Rembrandt_Peale_Museum%2C_225_North_Holliday_Street_%28Baltimore%2C_Independent_City%2C_Maryland%29.jpg,"The Peale Museum, also known officially as the Municipal Museum of the City of Baltimore, was a museum of paintings and natural history, located in the City of Baltimore, Maryland, United States. It occupied the first building in the Western Hemisphere to be designed and built specifically as a museum.[3] The Peale Museum was created by Charles Willson Peale, (1741-1827) and his son Rembrandt Peale, 1778-1860). After functioning separately as the Baltimore City's historical museum since the original structure was being rebuilt, restored, and renovated in 1930-1931, and then later merging in with other historic sites, houses and museums in the early 1980s under the expansive efforts of new executive director, with the name of the Baltimore City Life Museums and a new broader mission in conjunction with the other historical locations."
Port Discovery,Downtown,"35 Market Pl
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Robert Long House,Fells Point,"812 Ann St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Sheldon K. Knorr Gallery for Contemporary and Edible Art,Downtown,"17 Commerce St
BALTIMORE, MD",http://visioncame.com/images/notfound.jpg,"Bacon ipsum dolor amet ball tip pig ribeye chicken pastrami jerky porchetta shank frankfurter capicola jowl corned beef turkey. Burgdoggen pork loin jerky biltong shank capicola. Doner rump leberkas tongue. T-bone tri-tip meatball cupim pork belly. Tenderloin pork ribeye, frankfurter alcatra ham hock cow picanha swine filet mignon ground round kielbasa short loin jerky ball tip. Brisket jowl capicola chicken beef ribs leberkas ground round filet mignon pork spare ribs tri-tip shankle sausage meatball."
Shot Tower,Jonestown,"801 Fayette St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Phoenix_Shot_Tower.png/250px-Phoenix_Shot_Tower.png,"The Phoenix Shot Tower, also known as the Old Baltimore Shot Tower, is a red brick shot tower, 234.25 feet (71.40 m) tall, located near the downtown, Jonestown (also known later as Old Town), and Little Italy communities of East Baltimore, in Maryland. When it was completed in 1828 it was the tallest structure in the United States. The tower was originally known as the ""Phoenix Shot Tower"", then the ""Merchants' Shot Tower"", and now is also sometimes called the ""Old Baltimore Shot Tower"".[3] It was designated a National Historic Landmark on November 11, 1971.[2]"
"Space Telescope Science Institute, JHU",Johns Hopkins Homewood,"3700 San Martin Dr
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/0/09/Johns_Hopkins_University%27s_Academic_Seal.svg/150px-Johns_Hopkins_University%27s_Academic_Seal.svg.png,Maryland:
Star-Spangled Banner Flag House,Jonestown,"844 Pratt St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_House%2C_844_East_Pratt_Street%2C_Baltimore%2C_Maryland.JPG/250px-Flag_House%2C_844_East_Pratt_Street%2C_Baltimore%2C_Maryland.JPG,"The Star-Spangled Banner Flag House, formerly the Flag House & Star-Spangled Banner Museum, is a museum located in the Jonestown/Old Town and Little Italy neighborhoods of eastern downtown Baltimore, Maryland, United States."
Tattoo Museum,Fells Point,"1534 Eastern Ave
BALTIMORE, MD",http:,"The Flower Mart is an annual festival native to Baltimore, Maryland."
B&O Railroad Museum,Washington Village,"901 Pratt St
BALTIMORE, MD",http:,
The Great Blacks in Wax Museum,Oliver,"1601 North Ave
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
The Urban Interior Museum,Reservoir Hill,"2503 Madison St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
The Walters Art Gallery,Mount Vernon,"600 Charles St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/8/8f/Walters_Art_Museum_logo.png,Coordinates: 39°17′48″N 76°36′58″W﻿ / ﻿39.29667°N 76.61611°W﻿ / 39.29667; -76.61611
Top of the World Observation Level and Museum,Inner Harbor,"401 Pratt St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Thomas Segal Gallery,Tuscany-Canterbury,"4 University Pkwy
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/George_Cosbuc_-_Foto02.jpg/220px-George_Cosbuc_-_Foto02.jpg,"List of noted children of clergy is a list concerned with individuals whose status as a child of a cleric is important, preferably critical, to their fame or significance."
